repository_name,date,views,unique_visitors/cloners
github-stats,2022-12-12,4,1
github-stats-pages,2022-11-29,8,1
github-stats-pages,2022-12-01,2,2
github-stats-pages,2022-12-02,1,1
github-stats-pages,2022-12-04,1,1
github-stats-pages,2022-12-06,1,1
github-stats-pages,2022-12-07,1,1
github-stats-pages,2022-12-09,3,1
github-stats-pages,2022-12-10,2,2
github-stats-pages,2022-12-11,1,1
GNIRSLongSlit,2022-12-02,2,1
site-hugo-academic,2022-11-29,4,1
sqltest-github-stats,2022-12-10,2,1
test-github-stats,2022-12-12,2,1
uarizona-salary-app,2022-11-29,1,1
uarizona-salary-app,2022-12-05,2,2
uarizona-salary-app,2022-12-06,3,1
voxcharta-my-voting-record,2022-12-05,3,2
