repository_name,date,clones,unique_visitors/cloners
test-github-stats,2023-10-12,4,3
test-github-stats,2023-10-13,4,3
test-github-stats,2023-10-14,4,3
test-github-stats,2023-10-15,2,2
test-github-stats,2023-10-16,7,6
test-github-stats,2023-10-17,5,4
test-github-stats,2023-10-18,4,3
test-github-stats,2023-10-19,4,3
test-github-stats,2023-10-20,2,2
test-github-stats,2023-10-21,4,3
test-github-stats,2023-10-22,2,2
test-github-stats,2023-10-23,3,3
test-github-stats,2023-10-24,2,2
uarizona-salary-app,2023-10-23,1,1
voxcharta-my-voting-record,2023-10-15,1,1
voxcharta-my-voting-record,2023-10-20,1,1
voxcharta-my-voting-record,2023-10-24,2,2
Zcalbase_gal,2023-10-12,1,1
Zcalbase_gal,2023-10-23,1,1
Zcalbase_gal,2023-10-24,1,1
