repository_name,date,views,unique_visitors/cloners
academic-ads-bibtex,2023-01-01,5,1
academic-ads-bibtex,2023-01-09,3,2
academic-ads-bibtex,2023-01-10,3,1
Evolution-of-Galaxies,2023-01-11,2,1
Extract1D,2023-01-04,12,1
Extract1D,2023-01-10,1,1
github-stats-pages,2023-01-03,2,1
github-stats-pages,2023-01-05,1,1
github-stats-pages,2023-01-08,2,1
github-stats-pages,2023-01-09,1,1
github-stats-pages,2023-01-11,1,1
github-stats-pages,2023-01-12,1,1
PeakFlows,2023-01-03,2,1
test-github-stats,2023-01-08,8,2
test-github-stats,2023-01-11,3,1
test-github-stats,2023-01-14,3,1
uarizona-salary-app,2023-01-04,1,1
uarizona-salary-app,2023-01-11,3,1
uarizona-salary-app,2023-01-13,1,1
voxcharta-my-voting-record,2023-01-11,1,1
