date,path,title,count,uniques
2022-10-07,/astrochun/tep-usage-analysis,astrochun/tep-usage-analysis: Analyze TEP usage,1,1
2022-10-07,/astrochun/uarizona-salary-app,GitHub - astrochun/uarizona-salary-app: Streamlit app to illustrate Universit...,4,4
2022-10-07,/astrochun/uarizona-salary-app/issues,Issues · astrochun/uarizona-salary-app,3,1
2022-10-07,/astrochun/uarizona-salary-app/tree/main/salary_app,uarizona-salary-app/salary_app at main · astrochun/uarizona-salary-app · GitHub,2,2
2022-10-07,/astrochun/uarizona-salary-app/actions/runs/2273761331/jobs/3381213530,Use Dropbox over Google Drive due to 403 error #82 · astrochun/uarizona-salar...,2,1
2022-10-07,/astrochun/uarizona-salary-app/actions,Actions · astrochun/uarizona-salary-app,1,1
2022-10-07,/astrochun/uarizona-salary-app/actions/runs/2273761331,Use Dropbox over Google Drive due to 403 error #82 · astrochun/uarizona-salar...,1,1
2022-10-07,/astrochun/uarizona-salary-app/actions/workflows/release-n-heroku-deploy.yml,Actions · astrochun/uarizona-salary-app,1,1
2022-10-07,/astrochun/uarizona-salary-app/blob/main/salary_app/main.py,uarizona-salary-app/main.py at main · astrochun/uarizona-salary-app · GitHub,1,1
2022-10-07,/astrochun/uarizona-salary-app/compare/a40b0273...59846270,Comparing a40b0273...59846270 · astrochun/uarizona-salary-app,1,1
2022-10-07,/astrochun/uarizona-salary-app/issues/53,"Main module is too large, refactor for easier readability · Issue #53 · astro...",1,1
2022-10-07,/astrochun/voxcharta-my-voting-record/pulls,Pull requests · astrochun/voxcharta-my-voting-record,2,1
2022-10-07,/astrochun/voxcharta-my-voting-record,astrochun/voxcharta-my-voting-record: A Python tool to extract information fr...,1,1
2022-10-07,/astrochun/voxcharta-my-voting-record/blob/89b6f2fec4110db477956217a00ca0edda2653e4/.github/workflows/linting.yml,voxcharta-my-voting-record/linting.yml at 89b6f2fec4110db477956217a00ca0edda2...,1,1
2022-10-07,/astrochun/voxcharta-my-voting-record/pull/29,Ensure package is installable on different python versions by astrochun · Pul...,1,1
2022-10-07,/astrochun/voxcharta-my-voting-record/pull/29/checks,Ensure package is installable on different python versions by astrochun · Pul...,1,1
