repository_name,date,clones,unique_visitors/cloners
system_profiler,2022-08-13,1,1
system_profiler,2022-08-14,1,1
Telluric_Flux,2022-08-16,1,1
tep-usage-analysis,2022-08-18,2,2
tep-usage-analysis,2022-08-19,1,1
tep-usage-analysis,2022-08-20,1,1
tep-usage-analysis,2022-08-23,2,1
tep-usage-analysis,2022-08-24,1,1
tep-usage-analysis,2022-08-25,9,5
tep-usage-analysis,2022-08-26,1,1
test-github-stats,2022-08-13,1,1
test-github-stats,2022-08-14,4,3
test-github-stats,2022-08-15,5,4
test-github-stats,2022-08-16,5,4
test-github-stats,2022-08-17,5,4
test-github-stats,2022-08-18,5,4
test-github-stats,2022-08-19,4,3
test-github-stats,2022-08-20,5,3
test-github-stats,2022-08-21,5,4
test-github-stats,2022-08-22,4,3
test-github-stats,2022-08-23,5,4
test-github-stats,2022-08-24,4,3
test-github-stats,2022-08-25,5,4
test-github-stats,2022-08-26,4,3
uarizona-salary-app,2022-08-13,4,2
uarizona-salary-app,2022-08-14,2,1
uarizona-salary-app,2022-08-15,2,1
uarizona-salary-app,2022-08-16,4,2
uarizona-salary-app,2022-08-18,1,1
voxcharta-my-voting-record,2022-08-13,2,1
voxcharta-my-voting-record,2022-08-17,1,1
voxcharta-my-voting-record,2022-08-22,1,1
Zcalbase,2022-08-13,1,1
Zcalbase,2022-08-14,1,1
