repository_name,date,clones,unique_visitors/cloners
2018-09-01-steward,2023-01-05,3,2
2018-09-01-steward,2023-01-07,2,1
2018-09-01-steward,2023-01-09,1,1
academic-ads-bibtex,2023-01-03,4,2
academic-ads-bibtex,2023-01-09,1,1
academic-ads-bibtex,2023-01-11,1,1
astrochun,2023-01-03,2,1
astrochun,2023-01-09,1,1
astrochun.github.io,2023-01-03,2,1
astrochun.github.io,2023-01-04,4,2
astrochun.github.io,2023-01-09,1,1
chun_codes,2023-01-03,2,1
chun_codes,2023-01-04,2,1
chun_codes,2023-01-09,1,1
chun_codes,2023-01-11,1,1
closed-discussion-message,2023-01-04,2,1
closed-discussion-message,2023-01-09,1,1
containeraction,2023-01-07,2,1
containeraction,2023-01-09,1,1
d3js-learning,2022-12-30,1,1
d3js-learning,2023-01-04,2,1
d3js-learning,2023-01-09,1,1
DarkData_Inventory,2023-01-04,2,1
DarkData_Inventory,2023-01-09,1,1
DevOps_guide,2023-01-02,1,1
DevOps_guide,2023-01-05,2,1
DevOps_guide,2023-01-07,2,1
DevOps_guide,2023-01-09,1,1
Evolution-of-Galaxies,2023-01-03,6,3
Evolution-of-Galaxies,2023-01-04,4,2
Evolution-of-Galaxies,2023-01-09,1,1
Extract1D,2023-01-03,2,1
Extract1D,2023-01-09,1,1
figshare-actions-publish-test,2023-01-03,2,1
figshare-actions-publish-test,2023-01-04,2,1
figshare-actions-publish-test,2023-01-09,1,1
figshare_actions,2022-12-31,1,1
figshare_actions,2023-01-06,2,1
figshare_actions,2023-01-09,1,1
figshare_actions,2023-01-12,1,1
figshare_actions2,2023-01-04,4,2
figshare_actions2,2023-01-09,1,1
figshare_autosync_check,2023-01-03,2,1
figshare_autosync_check,2023-01-04,2,1
figshare_autosync_check,2023-01-09,1,1
figshare_autosync_check_queue,2023-01-04,2,1
figshare_autosync_check_queue,2023-01-09,1,1
figshare_test,2023-01-06,6,3
figshare_test,2023-01-09,1,1
figshare_test2,2023-01-01,1,1
figshare_test2,2023-01-04,4,2
figshare_test2,2023-01-09,1,1
github-stats,2022-12-31,4,3
github-stats,2023-01-01,4,3
github-stats,2023-01-02,4,3
github-stats,2023-01-03,11,5
github-stats,2023-01-04,5,3
github-stats,2023-01-05,3,2
github-stats,2023-01-06,3,2
github-stats,2023-01-07,4,3
github-stats,2023-01-08,3,2
github-stats,2023-01-09,5,4
github-stats,2023-01-10,3,2
github-stats,2023-01-11,3,2
github-stats,2023-01-12,4,3
github-stats-pages,2022-12-31,1,1
github-stats-pages,2023-01-03,4,2
github-stats-pages,2023-01-04,1,1
github-stats-pages,2023-01-06,1,1
github-stats-pages,2023-01-08,1,1
github-stats-pages,2023-01-09,1,1
GNIRSLongSlit,2023-01-03,4,2
GNIRSLongSlit,2023-01-09,1,1
GNIRSLongSlit,2023-01-11,1,1
manifests_with_flux,2023-01-04,2,1
manifests_with_flux,2023-01-09,1,1
Metallicity_Stack_Commons,2023-01-03,6,2
Metallicity_Stack_Commons,2023-01-04,4,2
Metallicity_Stack_Commons,2023-01-09,1,1
MMTtools,2023-01-03,6,3
MMTtools,2023-01-04,4,2
MMTtools,2023-01-07,2,1
MMTtools,2023-01-09,1,1
MyExpressApp,2023-01-03,1,1
MyExpressApp,2023-01-06,2,1
MyExpressApp,2023-01-09,2,2
MZEnv,2023-01-03,4,2
MZEnv,2023-01-09,1,1
MZEvolve,2023-01-03,1,1
MZEvolve,2023-01-04,2,1
MZEvolve,2023-01-09,1,1
old_website_nightsky,2023-01-09,1,1
overleaf_github_demo,2023-01-03,1,1
overleaf_github_demo,2023-01-05,2,1
overleaf_github_demo,2023-01-06,2,1
overleaf_github_demo,2023-01-09,1,1
PeakFlows,2023-01-04,2,1
PeakFlows,2023-01-09,1,1
