repository_name,date,clones,unique_visitors/cloners
uarizona-salary-app,2023-03-01,1,1
uarizona-salary-app,2023-03-02,3,2
uarizona-salary-app,2023-03-04,2,1
voxcharta-my-voting-record,2023-02-25,2,2
voxcharta-my-voting-record,2023-02-26,1,1
voxcharta-my-voting-record,2023-03-02,2,1
voxcharta-my-voting-record,2023-03-03,2,2
voxcharta-my-voting-record,2023-03-09,1,1
Zcalbase,2023-03-02,2,1
Zcalbase,2023-03-06,1,1
Zcalbase,2023-03-10,1,1
Zcalbase_gal,2023-03-02,2,1
Zcalbase_gal,2023-03-03,2,2
Zcalbase_gal,2023-03-09,1,1
Zcalbase_gal,2023-03-10,1,1
