date,path,title,count,uniques
2023-01-15,/astrochun/academic-ads-bibtex/blob/main/setup.py,academic-ads-bibtex/setup.py at main · astrochun/academic-ads-bibtex · GitHub,5,3
2023-01-15,/astrochun/academic-ads-bibtex,GitHub - astrochun/academic-ads-bibtex: Construct a proper BibTeX file to use...,1,1
2023-01-15,/astrochun/Evolution-of-Galaxies/blob/4a2c6221bd64744416be6f0902786ba0c7154971/Archives/plots.py,Evolution-of-Galaxies/plots.py at 4a2c6221bd64744416be6f0902786ba0c7154971 · ...,1,1
2023-01-15,/astrochun/Evolution-of-Galaxies/blob/4a2c6221bd64744416be6f0902786ba0c7154971/Plotting/individual_plots.py,Evolution-of-Galaxies/individual_plots.py at 4a2c6221bd64744416be6f0902786ba0...,1,1
2023-01-15,/astrochun/Extract1D,astrochun/Extract1D: Python 2.7 code for 1-D extraction of 2-D spectra,5,1
2023-01-15,/astrochun/Extract1D/search,Search · Extract1d-jwst,3,1
2023-01-15,/astrochun/Extract1D/blob/master/extract.py,Extract1D/extract.py at master · astrochun/Extract1D,2,1
2023-01-15,/astrochun/Extract1D/blob/master/__init__.py,Extract1D/__init__.py at master · astrochun/Extract1D,1,1
2023-01-15,/astrochun/Extract1D/commit/c3718a386076683ac740e7231f469e3b860957ce,plotting.plt_1d.main: Documentation · astrochun/Extract1D@c3718a3,1,1
2023-01-15,/astrochun/Extract1D/tree/master/plotting,Extract1D/plotting at master · astrochun/Extract1D,1,1
2023-01-15,/astrochun/github-stats-pages,astrochun/github-stats-pages: Retrieve statistics for a user's repositories a...,6,6
2023-01-15,/astrochun/github-stats-pages/blob/main/LICENSE,github-stats-pages/LICENSE at main · astrochun/github-stats-pages,1,1
2023-01-15,/astrochun/github-stats-pages/blob/main/README.md,github-stats-pages/README.md at main · astrochun/github-stats-pages,1,1
2023-01-15,/astrochun/PeakFlows,astrochun/PeakFlows: Python code to analyze peak flows,1,1
2023-01-15,/astrochun/PeakFlows/blob/master/plot.py,PeakFlows/plot.py at master · astrochun/PeakFlows,1,1
2023-01-15,/astrochun/test-github-stats/actions/runs/3865181972,Deploy GitHub pages with traffic stats · astrochun/test-github-stats@e49448f,3,1
2023-01-15,/astrochun/test-github-stats/actions/runs/3865181972/jobs/6588513392,Deploy GitHub pages with traffic stats · astrochun/test-github-stats@e49448f,2,1
2023-01-15,/astrochun/test-github-stats/actions/runs/3889328885,Deploy GitHub pages with traffic stats · astrochun/test-github-stats@f7d073c,2,1
2023-01-15,/astrochun/test-github-stats/actions/runs/3916636186,Deploy GitHub pages with traffic stats · astrochun/test-github-stats@19a3c1c,2,1
2023-01-15,/astrochun/test-github-stats,GitHub - astrochun/test-github-stats: Testing of GitHub action for GitHub pag...,1,1
2023-01-15,/astrochun/test-github-stats/actions,Actions · astrochun/test-github-stats,1,1
2023-01-15,/astrochun/test-github-stats/actions/runs/3889328885/jobs/6637497879,Deploy GitHub pages with traffic stats · astrochun/test-github-stats@f7d073c,1,1
2023-01-15,/astrochun/test-github-stats/actions/runs/3916636186/jobs/6695897071,Deploy GitHub pages with traffic stats · astrochun/test-github-stats@19a3c1c,1,1
2023-01-15,/astrochun/test-github-stats/tree/main/data,test-github-stats/data at main · astrochun/test-github-stats · GitHub,1,1
2023-01-15,/astrochun/uarizona-salary-app,GitHub - astrochun/uarizona-salary-app: Streamlit app to illustrate Universit...,3,3
2023-01-15,/astrochun/uarizona-salary-app/issues,Issues · astrochun/uarizona-salary-app,1,1
2023-01-15,/astrochun/uarizona-salary-app/issues/54,Add bilingual support: Spanish · Issue #54 · astrochun/uarizona-salary-app,1,1
2023-01-15,/astrochun/voxcharta-my-voting-record,GitHub - astrochun/voxcharta-my-voting-record: A Python tool to extract infor...,1,1
