repository_name,date,clones,unique_visitors/cloners
sqltest-github-stats,2023-01-19,2,2
sqltest-github-stats,2023-01-20,5,3
sqltest-github-stats,2023-01-21,4,3
sqltest-github-stats,2023-01-22,5,3
sqltest-github-stats,2023-01-23,4,3
sqltest-github-stats,2023-01-24,3,2
sqltest-github-stats,2023-01-25,5,3
sqltest-github-stats,2023-01-26,4,3
sqltest-github-stats,2023-01-27,3,2
sqltest-github-stats,2023-01-28,3,2
sqltest-github-stats,2023-01-29,3,2
sqltest-github-stats,2023-01-30,4,3
sqltest-github-stats,2023-01-31,3,2
sqltest-github-stats,2023-02-01,1,1
test-github-stats,2023-01-19,3,2
test-github-stats,2023-01-20,3,2
test-github-stats,2023-01-21,6,3
test-github-stats,2023-01-22,3,2
test-github-stats,2023-01-23,4,3
test-github-stats,2023-01-24,5,3
test-github-stats,2023-01-25,1,1
test-github-stats,2023-01-26,3,2
test-github-stats,2023-01-27,3,2
test-github-stats,2023-01-28,4,2
test-github-stats,2023-01-29,3,2
test-github-stats,2023-01-30,2,2
test-github-stats,2023-01-31,5,3
test-github-stats,2023-02-01,5,4
test-stats,2023-01-21,2,2
uarizona-salary-app,2023-01-22,1,1
uarizona-salary-app,2023-01-29,1,1
voxcharta-my-voting-record,2023-01-20,1,1
voxcharta-my-voting-record,2023-01-28,1,1
voxcharta-my-voting-record,2023-01-29,1,1
voxcharta-my-voting-record,2023-01-30,1,1
voxcharta-my-voting-record,2023-02-01,1,1
Zcalbase,2023-01-25,1,1
Zcalbase,2023-01-26,1,1
Zcalbase_gal,2023-01-29,1,1
Zcalbase_gal,2023-01-30,1,1
